uid,school_type,name,campus,headquarters,undergraduate,operator,prefecture,city,municipality_code,postal_code,address,phone_number,fax_number,kcode,department,name_hira,graduate_course,major_course,master,doctor,related_college,related_undergraduate,created_date,updated_date,salesforce_id
1,大学,防衛医科大学校,,,本部（代表）,国立,埼玉県,所沢市,112089,359-0042,埼玉県所沢市並木３－２,04-2995-1211,04-2995-1130,col-K27000014-0000,,ぼうえいいかだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:43:00,0015h00000oIUFi
2,大学,海技大学校,,,本部（代表）,独立行政法人,兵庫県,芦屋市,282065,659-0026,兵庫県芦屋市西蔵町１２－２４,0797-38-6201,0797-32-7904,col-K27000162-0000,,かいぎだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:43:00,0015h00000oIUFj
3,大学,職業能力開発総合大学校,,,本部（代表）,独立行政法人,東京都,小平市,132110,187-0035,東京都小平市小川西町２－３２－１,042-341-3331,042-344-5609,col-K27000151-0000,,しょくぎょうのうりょくかいはつそうごうだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:43:00,0015h00000oIUFk
4,大学,国立看護大学校,,,本部（代表）,国立研究開発法人,東京都,清瀬市,132217,204-0024,東京都清瀬市梅園１－２－１,0424-95-2211,042-495-2758,col-K27000128-0000,,こくりつかんごだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:43:00,0015h00000oIUFl
5,大学,中小企業大学校,,,本部（代表）,独立行政法人,東京都,東大和市,132209,207-0022,東京都東大和市桜が丘２－１３７－５,042-565-1192,042-590-2684,col-K27000117-0000,,ちゅうしょうきぎょうだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:43:00,0015h00000oIUFm
6,大学,労働大学校,,,本部（代表）,独立行政法人,埼玉県,朝霞市,112275,351-0023,埼玉県朝霞市溝沼１９８３－２,048-463-1021,048-464-3050,col-K27000069-0000,,ろうどうだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:06,0015h00000oIUHH
7,大学,海上保安大学校,,,本部（代表）,国立,広島県,呉市,342025,737-0832,広島県呉市若葉町５－１,0823-21-4961,0823-21-8105,col-K27000173-0000,,かいじょうほあんだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:06,0015h00000oIUHI
8,大学,水産大学校,,,本部（代表）,国立研究開発法人,山口県,下関市,352012,759-6533,山口県下関市永田本町２－７－１,083-286-5111,083-286-2292,col-K27000184-0000,,すいさんだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:06,0015h00000oIUHJ
9,大学,防衛大学校,,,本部（代表）,国立,神奈川県,横須賀市,142018,239-0811,神奈川県横須賀市走水１－１０－２０,046-841-3810,046-843-6236,col-K27000140-0000,,ぼうえいだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:06,0015h00000oIUHK
10,大学,消防大学校,,,本部（代表）,国立,東京都,調布市,132080,182-0012,東京都調布市深大寺東町４－３５－３,0422-46-1711,0422-47-9192,col-K27000092-0000,,しょうぼうだいがっこう,,,,,,,2021-09-17 05:24:52,2022-05-12 13:44:06,0015h00000oIUHL
