uid,department_id,school_kcode,school_name,name,name_hira,created_date,updated_date
1,1,col-K23001747-0000,お茶の水女子大学,文教育学部,ぶんきょういくがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
2,2,col-K23001747-0000,お茶の水女子大学,理学部,りがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
3,3,col-K23001747-0000,お茶の水女子大学,生活科学部,せいかつかがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
4,4,gcl-K25001747-0000,お茶の水女子大学大学院,人間文化創成科学研究科,じんげんぶんかそうせいかがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
5,5,col-K23040016-0000,かなざわ食マネジメント専門職大学,フードサービスマネジメント学部,ふーどさーびすまねじめんとがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
6,6,col-K23006269-0000,くらしき作陽大学,子ども教育学部,しどもきょういくがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
7,7,col-K23006269-0000,くらしき作陽大学,音楽学部,おんがくがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
8,8,col-K23006269-0000,くらしき作陽大学,食文化学部,しょくぶんかがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
9,9,gcl-K25006269-0000,くらしき作陽大学大学院,音楽研究科,おんがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
10,10,col-K23007592-0000,こども教育宝仙大学,こども教育学部,こどもきょういくがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
11,11,col-K23000894-0000,つくば国際大学,医療保健学部,いりょうほけんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
12,12,col-K23040019-0000,びわこリハビリテーション専門職大学,リハビリテーション学部,りはびりてーしょんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
13,13,col-K23007639-0000,びわこ学院大学,教育福祉学部,きょういくふくしがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
14,14,col-K23004751-0000,びわこ成蹊スポーツ大学,スポーツ学部,すぽーつがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
15,15,gcl-K25004751-0000,びわこ成蹊スポーツ大学大学院,スポーツ学研究科,すぽーつがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
16,16,col-K23001437-0000,ものつくり大学,技能工芸学部,ぎのうこうげいがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
17,17,gcl-K25001437-0000,ものつくり大学大学院,ものつくり学研究科,ものつくりがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
18,18,,アール医療専門職大学,リハビリテーション学部,りはびりてーしょんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
19,19,col-K23006362-0000,エリザベト音楽大学,音楽学部,おんがくがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
20,20,gcl-K25006362-0000,エリザベト音楽大学大学院,音楽研究科,おんがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
21,21,,グローバルＢｉｚ専門職大学,グローバルビジネス学部,ぐろーばるびじねすがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
22,22,,グロービス経営大学院大学大学院,経営研究科,けいえいけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
23,23,col-K23002988-0000,デジタルハリウッド大学,デジタルコミュニケーション学部,でじたるこみゅにけーしょんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
24,24,gcl-K25002988-0000,デジタルハリウッド大学大学院,デジタルコンテンツ研究科,でじたるこんてんつけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
25,25,col-K23000702-0000,ノースアジア大学,法学部,ほうがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
26,26,col-K23000702-0000,ノースアジア大学,経済学部,けいざいがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
27,27,col-K23006306-0000,ノートルダム清心女子大学,人間生活学部,じんげんせいかつがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
28,28,col-K23006306-0000,ノートルダム清心女子大学,文学部,ぶんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
29,29,gcl-K25006306-0000,ノートルダム清心女子大学大学院,人間生活学研究科,じんげんせいかつがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
30,30,gcl-K25006306-0000,ノートルダム清心女子大学大学院,文学研究科,ぶんがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
31,31,,ハリウッド大学院大学大学院,ビューティビジネス研究科,びゅーてぃびじねすけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
32,32,,ビューティ＆ウェルネス専門職大学,ビューティ＆ウェルネス学部,びゅーてぃ＆うぇるねすがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
33,33,col-K23003277-0000,フェリス女学院大学,国際交流学部,こくさいこう流がくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
34,34,col-K23003277-0000,フェリス女学院大学,文学部,ぶんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
35,35,col-K23003277-0000,フェリス女学院大学,音楽学部,おんがくがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
36,36,gcl-K25003277-0000,フェリス女学院大学大学院,人文科学研究科,じんぶんかがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
37,37,gcl-K25003277-0000,フェリス女学院大学大学院,国際交流研究科,こくさいこう流けんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
38,38,gcl-K25003277-0000,フェリス女学院大学大学院,音楽研究科,おんがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
39,39,col-K23007684-0000,ヤマザキ動物看護大学,動物看護学部,どうぶつかんごがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
40,40,,ヤマザキ動物看護大学大学院,動物看護学研究科,どうぶつかんごがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
41,41,col-K23002944-0000,ルーテル学院大学,総合人間学部,そうごうじんげんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
42,42,gcl-K25002944-0000,ルーテル学院大学大学院,総合人間学研究科,そうごうじんげんがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
43,43,col-K23020577-0000,一宮研伸大学,看護学部,かんごがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
44,44,,一宮研伸大学大学院,看護学研究科,かんごがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
45,45,col-K23001851-0000,一橋大学,商学部,しょうがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
46,46,col-K23001851-0000,一橋大学,法学部,ほうがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
47,47,col-K23001851-0000,一橋大学,社会学部,しゃかいがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
48,48,col-K23001851-0000,一橋大学,経済学部,けいざいがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
49,49,gcl-K25001851-0000,一橋大学大学院,国際・公共政策教育部,こくさい・こうきょうせいさくきょういくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
50,50,gcl-K25001851-0000,一橋大学大学院,法学研究科,ほうがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
51,51,gcl-K25001851-0000,一橋大学大学院,社会学研究科,しゃかいがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
52,52,gcl-K25001851-0000,一橋大学大学院,経営管理研究科,けいえいかんりけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
53,53,gcl-K25001851-0000,一橋大学大学院,経済学研究科,けいざいがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
54,54,gcl-K25001851-0000,一橋大学大学院,言語社会研究科,げんごしゃかいけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
55,55,col-K23040037-0000,三条市立大学,工学部,こうがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
56,56,col-K23001529-0000,三育学院大学,看護学部,かんごがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
57,57,,三育学院大学大学院,看護学研究科,かんごがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
58,58,col-K23004614-0000,三重大学,人文学部,じんぶんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
59,59,col-K23004614-0000,三重大学,医学部,いがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
60,60,col-K23004614-0000,三重大学,工学部,こうがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
61,61,col-K23004614-0000,三重大学,教育学部,きょういくがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
62,62,col-K23004614-0000,三重大学,生物資源学部,せいぶつしげんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
63,63,gcl-K25004614-0000,三重大学大学院,人文社会科学研究科,じんぶんしゃかいかがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
64,64,gcl-K25004614-0000,三重大学大学院,医学系研究科,いがく系けんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
65,65,gcl-K25004614-0000,三重大学大学院,地域イノベーション学研究科,ちいきいのべーしょんがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
66,66,gcl-K25004614-0000,三重大学大学院,工学研究科,こうがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
67,67,gcl-K25004614-0000,三重大学大学院,教育学研究科,きょういくがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
68,68,gcl-K25004614-0000,三重大学大学院,生物資源学研究科,せいぶつしげんがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
69,69,col-K23004625-0000,三重県立看護大学,看護学部,かんごがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
70,70,gcl-K25004625-0000,三重県立看護大学大学院,看護学研究科,かんごがくけんきゅうか,2025-06-25 23:44:19,2025-06-25 23:44:19
71,71,col-K23002151-0000,上智大学,国際教養学部,こくさいきょうようがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
72,72,col-K23002151-0000,上智大学,外国語学部,がいこくごがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
73,73,col-K23002151-0000,上智大学,文学部,ぶんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
74,74,col-K23002151-0000,上智大学,法学部,ほうがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
75,75,col-K23002151-0000,上智大学,理工学部,りこうがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
76,76,col-K23002151-0000,上智大学,神学部,しんがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
77,77,col-K23002151-0000,上智大学,経済学部,けいざいがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
78,78,col-K23002151-0000,上智大学,総合グローバル学部,そうごうぐろーばるがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
79,79,col-K23002151-0000,上智大学,総合人間科学部,そうごうじんげんかがくぶ,2025-06-25 23:44:19,2025-06-25 23:44:19
