uid,kcode,group_name,created_date,updated_date
1,col-K23000056-0000,旧帝大・早慶,2022-05-12 14:36:51,2022-05-12 14:36:51
2,col-K23000528-0000,旧帝大・早慶,2022-05-12 14:36:51,2022-05-12 14:36:51
3,col-K23001770-0000,旧帝大・早慶,2022-05-12 14:36:51,2022-05-12 14:36:51
4,col-K23004131-0000,旧帝大・早慶,2022-05-12 14:36:51,2022-05-12 14:36:51
5,col-K23004762-0000,旧帝大・早慶,2022-05-12 14:36:51,2022-05-12 14:36:51
6,col-K23005062-0000,旧帝大・早慶,2022-05-12 14:36:51,2022-05-12 14:36:51
7,col-K23006764-0000,旧帝大・早慶,2022-05-12 14:36:51,2022-05-12 14:36:51
8,col-K23002966-0000,旧帝大・早慶,2022-05-12 14:36:51,2022-05-12 14:36:51
9,col-K23002036-0000,旧帝大・早慶,2022-05-12 14:36:52,2022-05-12 14:36:52
10,col-K23002885-0000,MARCH・関関同立,2022-05-12 14:36:52,2022-05-12 14:36:52
11,col-K23001884-0000,MARCH・関関同立,2022-05-12 14:36:52,2022-05-12 14:36:52
12,col-K23002922-0000,MARCH・関関同立,2022-05-12 14:36:52,2022-05-12 14:36:52
13,col-K23002379-0000,MARCH・関関同立,2022-05-12 14:36:52,2022-05-12 14:36:52
14,col-K23002818-0000,MARCH・関関同立,2022-05-12 14:36:52,2022-05-12 14:36:52
15,col-K23005361-0000,MARCH・関関同立,2022-05-12 14:36:52,2022-05-12 14:36:52
16,col-K23005682-0000,MARCH・関関同立,2022-05-12 14:36:52,2022-05-12 14:36:52
17,col-K23004991-0000,MARCH・関関同立,2022-05-12 14:36:53,2022-05-12 14:36:53
18,col-K23005040-0000,MARCH・関関同立,2022-05-12 14:36:53,2022-05-12 14:36:53
19,col-K23002678-0000,日東駒専・産近甲龍,2022-05-12 14:36:53,2022-05-12 14:36:53
20,col-K23002656-0000,日東駒専・産近甲龍,2022-05-12 14:36:53,2022-05-12 14:36:53
21,col-K23002106-0000,日東駒専・産近甲龍,2022-05-12 14:36:53,2022-05-12 14:36:53
22,col-K23002287-0000,日東駒専・産近甲龍,2022-05-12 14:36:53,2022-05-12 14:36:53
23,col-K23004876-0000,日東駒専・産近甲龍,2022-05-12 14:36:54,2022-05-12 14:36:54
24,col-K23005419-0000,日東駒専・産近甲龍,2022-05-12 14:36:54,2022-05-12 14:36:54
25,col-K23005729-0000,日東駒専・産近甲龍,2022-05-12 14:36:54,2022-05-12 14:36:54
26,col-K23005051-0000,日東駒専・産近甲龍,2022-05-12 14:36:55,2022-05-12 14:36:55
27,col-K27000014-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
28,col-K27000173-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
29,col-K27000140-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
30,col-K27000092-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
31,col-K27000081-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
32,col-K27000070-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
33,col-K27000058-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
34,col-K27000047-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
35,col-K27000025-0000,国公立,2022-05-12 14:36:55,2022-05-12 14:36:55
36,col-K27000106-0000,国公立,2022-05-12 14:36:56,2022-05-12 14:36:56
37,gcl-K25000012-0000,国公立,2022-05-12 14:36:56,2022-05-12 14:36:56
