uid,department_id,department_name,school_kcode,school_name,name,name_hira,created_date,updated_date
1,580,文学部,col-K23000056-0000,北海道大学,人文科学科,じんぶんかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
2,579,教育学部,col-K23000056-0000,北海道大学,教育学科,きょういくがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
3,583,法学部,col-K23000056-0000,北海道大学,法学課程,ほうがくかてい,2025-06-25 23:44:19,2025-06-25 23:44:19
4,586,経済学部,col-K23000056-0000,北海道大学,経済学科,けいざいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
5,586,経済学部,col-K23000056-0000,北海道大学,経営学科,けいえいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
6,585,理学部,col-K23000056-0000,北海道大学,数学科,すうがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
7,585,理学部,col-K23000056-0000,北海道大学,物理学科,ぶつりがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
8,585,理学部,col-K23000056-0000,北海道大学,化学科,かがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
9,585,理学部,col-K23000056-0000,北海道大学,生物科学科,せいぶつかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
10,585,理学部,col-K23000056-0000,北海道大学,地球惑星科学科,ちきゅうわくせいかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
11,577,医学部,col-K23000056-0000,北海道大学,医学科,いがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
12,577,医学部,col-K23000056-0000,北海道大学,保健学科,ほけんがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
13,581,歯学部,col-K23000056-0000,北海道大学,歯学科,しがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
14,587,薬学部,col-K23000056-0000,北海道大学,薬科学科,やっかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
15,587,薬学部,col-K23000056-0000,北海道大学,薬学科,やくがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
16,578,工学部,col-K23000056-0000,北海道大学,応用理工系学科,おうようりこうけいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
17,578,工学部,col-K23000056-0000,北海道大学,情報エレクトロニクス学科,じょうほうえれくとろにくすがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
18,578,工学部,col-K23000056-0000,北海道大学,機械知能工学科,きかいちのうこうがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
19,578,工学部,col-K23000056-0000,北海道大学,環境社会工学科,かんきょうしゃかいこうがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
20,578,工学部,col-K23000056-0000,北海道大学,（共通）,（きょうつう）,2025-06-25 23:44:19,2025-06-25 23:44:19
21,588,農学部,col-K23000056-0000,北海道大学,生物資源科学科,せいぶつしげんかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
22,588,農学部,col-K23000056-0000,北海道大学,応用生命科学科,おうようせいめいかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
23,588,農学部,col-K23000056-0000,北海道大学,生物機能化学科,せいぶつきのうかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
24,588,農学部,col-K23000056-0000,北海道大学,森林科学科,しんりんかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
25,588,農学部,col-K23000056-0000,北海道大学,畜産科学科,ちくさんかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
26,588,農学部,col-K23000056-0000,北海道大学,生物環境工学科,せいぶつかんきょうこうがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
27,588,農学部,col-K23000056-0000,北海道大学,農業経済学科,のうぎょうけいざいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
28,584,獣医学部,col-K23000056-0000,北海道大学,共同獣医学課程,きょうどうじゅういがくかてい,2025-06-25 23:44:19,2025-06-25 23:44:19
29,582,水産学部,col-K23000056-0000,北海道大学,海洋生物科学科,かいようせいぶつかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
30,582,水産学部,col-K23000056-0000,北海道大学,海洋資源科学科,かいようしげんかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
31,582,水産学部,col-K23000056-0000,北海道大学,増殖生命科学科,ぞうしょくせいめいかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
32,582,水産学部,col-K23000056-0000,北海道大学,資源機能化学科,しげんきのうかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
33,614,教育学部,col-K23000067-0000,北海道教育大学,教員養成課程,きょういんようせいかてい,2025-06-25 23:44:19,2025-06-25 23:44:19
34,614,教育学部,col-K23000067-0000,北海道教育大学,教員養成課程,きょういんようせいかてい,2025-06-25 23:44:19,2025-06-25 23:44:19
35,614,教育学部,col-K23000067-0000,北海道教育大学,教員養成課程,きょういんようせいかてい,2025-06-25 23:44:19,2025-06-25 23:44:19
36,614,教育学部,col-K23000067-0000,北海道教育大学,国際地域学科,こくさいちいきがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
37,614,教育学部,col-K23000067-0000,北海道教育大学,芸術・スポーツ文化学科,げいじゅつ・すぽーつぶんかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
38,1443,理工学部,col-K23000078-0000,室蘭工業大学,創造工学科,そう造こうがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
39,1443,理工学部,col-K23000078-0000,室蘭工業大学,システム理化学科,しすてむりかがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
40,1442,工学部,col-K23000078-0000,室蘭工業大学,建築社会基盤系学科,けんちくしゃかいきばんけいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
41,1442,工学部,col-K23000078-0000,室蘭工業大学,機械航空創造系学科,きかいこうくうそう造けいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
42,1442,工学部,col-K23000078-0000,室蘭工業大学,応用理化学系学科,おうようりかがくけいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
43,1442,工学部,col-K23000078-0000,室蘭工業大学,情報電子工学系学科,じょうほうでんここうがくけいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
44,1520,商学部,col-K23000023-0000,小樽商科大学,経済学科,けいざいがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
45,1520,商学部,col-K23000023-0000,小樽商科大学,商学科,しょうがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
46,1520,商学部,col-K23000023-0000,小樽商科大学,企業法学科,きぎょうほうがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
47,1520,商学部,col-K23000023-0000,小樽商科大学,社会情報学科,しゃかいじょうほうがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
48,1813,畜産学部,col-K23000034-0000,帯広畜産大学,共同獣医学課程,きょうどうじゅういがくかてい,2025-06-25 23:44:19,2025-06-25 23:44:19
49,1813,畜産学部,col-K23000034-0000,帯広畜産大学,畜産科学課程,ちくさんかがくかてい,2025-06-25 23:44:19,2025-06-25 23:44:19
50,2358,医学部,col-K23000012-0000,旭川医科大学,医学科,いがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
51,2358,医学部,col-K23000012-0000,旭川医科大学,看護学科,かんごがくか,2025-06-25 23:44:19,2025-06-25 23:44:19
